JUMLAH JENIS OBAT ESENSIAL DI PUSKESMAS;;;
 ;;;
;;;
;;;
;;;
;;;
NO;NAMA OBAT;SATUAN;KETERSEDIAAN OBAT ESENSIAL*
1;Albendazol/Pirantel Pamoat ;Tablet;1
2;Alopurinol;Tablet;1
3;Amlodipin/Kaptopril ;Tablet;1
4;Amoksisilin 500 mg ;Tablet;1
5;Amoksisilin sirup ;Botol;1
6;Antasida tablet kunyah/antasida suspensi;Tablet/Botol;1
7;Amitriptilin tablet salut 25 mg (HCl);Tablet;1
8;Asam Askorbat (Vitamin C) ;Tablet;1
9;Asiklovir ;Tablet;1
10;Betametason salep;Tube;1
11;Deksametason tablet/deksametason injeksi;Tablet/Vial/Ampul;1
12;Diazepam injeksi 5 mg/ml;Ampul;1
13;Diazepam ;Tablet;0
14;Dihidroartemsin+piperakuin (DHP) dan primaquin;Tablet;1
15;Difenhidramin Inj. 10 mg/ml;Ampul;1
16;Epinefrin (Adrenalin) injeksi 0,1 % (sebagai HCl);Ampul;1
17;Fitomenadion (Vitamin K) injeksi;Ampul;1
18;Furosemid 40 mg/Hidroklorotiazid (HCT) ;Tablet;1
19;Garam Oralit serbuk;Kantong;1
20;Glibenklamid/Metformin ;Tablet;1
21;Hidrokortison krim/salep;Tube;1
22;Kotrimoksazol (dewasa) kombinasi tablet/Kotrimoksazol suspensi;Tablet/Botol;1
23;Ketokonazol tablet 200 mg;Tablet;1
24;Klorfeniramina Maleat (CTM) tablet 4 mg;Tablet;1
25;Lidokain inj ;Vial;1
26;Magnesium Sulfat injeksi ;Vial;1
27;Metilergometrin Maleat injeksi 0,200 mg-1 ml;Ampul;1
28;Natrium Diklofenak ;Tablet;1
29;OAT FDC Kat 1;Paket;1
30;Oksitosin injeksi;Ampul;1
31;Parasetamol sirup 120 mg / 5 ml ;Botol;1
32;Parasetamol 500 mg;Tablet;1
33;Prednison 5 mg ;Tablet;1
34;Retinol 100.000/200.000 IU;Kapsul;1
35;Salbutamol;Tablet;1
36;Salep Mata/Tetes Mata Antibiotik;Tube;1
37;Simvastatin ;Tablet;1
38;Tablet Tambah Darah;Tablet;0
39;Vitamin B6 (Piridoksin) ;Tablet;1
40;Zinc 20 mg;Tablet;1
